id,name,host_source_id,host_source,type,logo_100px,ios_appstore_url,android_playstore_url,android_scheme,ios_scheme,regions
131,Food Network,,,free,https://cdn.watchmode.com/provider_logos/foodnet_100px.png,,,,,['US']
114,FOX,,,tve,https://cdn.watchmode.com/provider_logos/fox_100px.png,http://itunes.apple.com/app/fox-now/id571096102,https://play.google.com/store/apps/details?id=com.fox.now,,foxapp,['US']
115,FOX,,,free,https://cdn.watchmode.com/provider_logos/fox_100px.png,http://itunes.apple.com/app/fox-now/id571096102,https://play.google.com/store/apps/details?id=com.fox.now,,,['US']
563,FOX One,,,sub,https://cdn.watchmode.com/provider_logos/563_generic_v4.png,,,,,['US']
564,FOX One Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/564_generic_v4.png,,,,,['US']
527,Fox Sports 1,,,tve,https://cdn.watchmode.com/provider_logos/527_generic_v4.png,,,,,['US']
361,Freeform,,,free,https://cdn.watchmode.com/provider_logos/freeform_100px.png,http://itunes.apple.com/app/abc-family/id505728417,https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.abcf,,,['US']
132,Freeform,,,tve,https://cdn.watchmode.com/provider_logos/freeform_100px.png,http://itunes.apple.com/app/abc-family/id505728417,https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.abcf,,abcfamilyplayer,['US']
505,Freenet meinVOD,,,purchase,https://cdn.watchmode.com/provider_logos/505_generic_v4.png,,,,,['DE']
373,fuboTV,,,sub,https://cdn.watchmode.com/provider_logos/fuboTV_100px.png,,,,,"['ES', 'US', 'CA']"
347,fyi,,,free,https://cdn.watchmode.com/provider_logos/fyi_logo_100px.png,http://itunes.apple.com/app/fyi-tv/id887597381,,,fyiplus,['US']
348,fyi,,,tve,https://cdn.watchmode.com/provider_logos/fyi_logo_100px.png,http://itunes.apple.com/app/fyi-tv/id887597381,,fyiplus,fyiplus,['US']
475,Global TV,,,free,https://cdn.watchmode.com/provider_logos/475_generic_v4.png,,,,,['CA']
448,Globoplay,,,sub,https://cdn.watchmode.com/provider_logos/448_generic_v4.png,,,,,['BR']
401,GuideDoc,,,sub,https://cdn.watchmode.com/provider_logos/401_generic_v4.png,,,,,"['DE', 'US', 'CA', 'GB', 'AU', 'ES', 'IN', 'NL', 'IT', 'MX', 'NZ', 'KR', 'AT', 'DK', 'IE', 'PL', 'SG', 'CH', 'FI', 'NO', 'SE', 'ZA']"
151,Hallmark Channel Everywhere,,,tve,https://cdn.watchmode.com/provider_logos/hallmark_100px.png,http://itunes.apple.com/app/hallmark-channel-everywhere/id739360888,https://play.google.com/store/apps/details?id=com.hallmarkchannel.awe,,,['US']
152,Hallmark Movies Now,,,sub,https://cdn.watchmode.com/provider_logos/hallmark_movies_now_100px.png,http://itunes.apple.com/app/feeln-movies-together/id472567577,https://play.google.com/store/apps/details?id=com.feeln.android,None/details/TV_SHOW_EPISODE/item/MEET2008,com.spiritclips.sc,['US']
492,Hayu (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/492_generic_v4.png,,,,,"['AT', 'AU', 'BE', 'CA', 'DE', 'ES', 'FI', 'FR', 'GB', 'IT', 'NL', 'NZ', 'PL', 'PT', 'SE']"
385,HBO (Via Hulu),157.0,Hulu,sub,https://cdn.watchmode.com/provider_logos/385_generic_v4.png,,,hulu,hulu,['US']
147,HGTV,,,free,https://cdn.watchmode.com/provider_logos/hgtv_100px.png,,,,,['US']
420,HiDive,,,sub,https://cdn.watchmode.com/provider_logos/420_generic_v4.png,,,,,"['US', 'CA']"
287,The History Channel,,,tve,https://cdn.watchmode.com/provider_logos/history_100px.png,http://itunes.apple.com/app/history/id576009463,https://play.google.com/store/apps/details?id=com.aetn.history.watch,historyplus,historyplus,['US']
288,The History Channel,,,free,https://cdn.watchmode.com/provider_logos/history_100px.png,http://itunes.apple.com/app/history/id576009463,https://play.google.com/store/apps/details?id=com.aetn.history.watch,historyplus,historyplus,['US']
600,HistoryPlay Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/600_generic_v4.png,,,,,"['AT', 'DE', 'GB', 'IT', 'JP']"
400,Hollywood Suite,,,sub,https://cdn.watchmode.com/provider_logos/400_generic_v4.png,,,,,['CA']
390,Hoopla,,,sub,https://cdn.watchmode.com/provider_logos/390_generic_v4.png,,,,,"['US', 'CA', 'AU', 'NZ']"
447,JioHotstar,,,sub,https://cdn.watchmode.com/provider_logos/447_generic_v4.png,,,,,"['IN', 'SG']"
460,Hungama Play,,,sub,https://cdn.watchmode.com/provider_logos/460_generic_v4.png,,,,,['IN']
396,ICI TOU.TV,,,sub,https://cdn.watchmode.com/provider_logos/396_generic_v4.png,,,toutv,toutv,['CA']
160,IFC,,,tve,https://cdn.watchmode.com/provider_logos/ifc_100px.png,,,,,['US']
165,Investigation Discovery,,,free,https://cdn.watchmode.com/provider_logos/165_generic_v4.png,,,,ids-go,['US']
166,Investigation Discovery GO,,,tve,https://cdn.watchmode.com/provider_logos/id_100px.png,http://itunes.apple.com/app/id1101436941,https://play.google.com/store/apps/details?id=com.discovery.idsgo,ids-go,ids-go,['US']
413,ITVX,,,sub,https://cdn.watchmode.com/provider_logos/413_generic_v4.png,,,itvplayer,itvplayer,['GB']
543,ITVX Premium,,,sub,https://cdn.watchmode.com/provider_logos/543_generic_v4.png,,,,,['GB']
497,Joyn,,,free,https://cdn.watchmode.com/provider_logos/497_generic_v4.png,,,,,"['AT', 'DE']"
657,Joyn Plus,,,sub,https://cdn.watchmode.com/provider_logos/657_generic_v4.png,,,,,"['AT', 'DE']"
587,K League TV,,,sub,https://cdn.watchmode.com/provider_logos/587_generic_v4.png,,,,,"['CA', 'GB']"
593,Kayo Sports,,,sub,https://cdn.watchmode.com/provider_logos/593_generic_v4.png,,,,,['AU']
470,Kocowa,,,sub,https://cdn.watchmode.com/provider_logos/470_generic_v4.png,,,,,"['AT', 'AU', 'BE', 'BR', 'CA', 'CH', 'DE', 'DK', 'ES', 'FI', 'FR', 'GB', 'IE', 'IT', 'MX', 'NL', 'NO', 'NZ', 'PL', 'PT', 'SE', 'US']"
654,KQED,,,free,https://cdn.watchmode.com/provider_logos/654_generic_v4.png,,,,,['US']
170,Lifetime,,,free,https://cdn.watchmode.com/provider_logos/lifetime_100px.png,http://itunes.apple.com/app/lifetime/id579966222,https://play.google.com/store/apps/details?id=com.aetn.lifetime.watch,lifetimeplus,lifetimeplus,['US']
171,Lifetime,,,tve,https://cdn.watchmode.com/provider_logos/lifetime_100px.png,http://itunes.apple.com/app/lifetime/id579966222,https://play.google.com/store/apps/details?id=com.aetn.lifetime.watch,lifetimeplus,lifetimeplus,['US']
533,Lionsgate+ (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/533_generic_v4.png,,,,,"['AR', 'AT', 'AU', 'BR', 'CA', 'CH', 'CO', 'DE', 'DK', 'ES', 'FI', 'FR', 'GB', 'IE', 'IN', 'IT', 'MX', 'NL', 'NO', 'NZ', 'PL', 'PT', 'SE', 'US']"
169,LOGO,,,tve,https://cdn.watchmode.com/provider_logos/logo_100px.png,http://itunes.apple.com/app/logotv/id795019155,https://play.google.com/store/apps/details?id=com.mtvn.logoandroid,,,['US']
550,M6+,,,free,https://cdn.watchmode.com/provider_logos/550_generic_v4.png,,,,,['FR']
538,Magenta TV+,,,sub,https://cdn.watchmode.com/provider_logos/538_generic_v4.png,,,,,['DE']
